Kind_of_Business,period,value
All other gen. merchandise stores,2021-02-01,6346.0
All other gen. merchandise stores,2021-01-01,6748.0
All other home furnishings stores,2021-02-01,0.0
All other home furnishings stores,2021-01-01,0.0
Automobile and other motor vehicle dealers,2021-02-01,95324.0
Automobile and other motor vehicle dealers,2021-01-01,96537.0
Automobile dealers,2021-02-01,88477.0
Automobile dealers,2021-01-01,90463.0
"Automotive parts, acc., and tire stores",2021-02-01,7520.0
"Automotive parts, acc., and tire stores",2021-01-01,7718.0
"Beer, wine, and liquor stores",2021-02-01,4974.0
"Beer, wine, and liquor stores",2021-01-01,5087.0
Book stores,2021-02-01,458.0
Book stores,2021-01-01,820.0
Building mat. and garden equip. and supplies dealers,2021-02-01,29581.0
Building mat. and garden equip. and supplies dealers,2021-01-01,31229.0
Building mat. and supplies dealers,2021-02-01,25613.0
Building mat. and supplies dealers,2021-01-01,27143.0
Clothing and clothing access. stores,2021-02-01,16592.0
Clothing and clothing access. stores,2021-01-01,15740.0
Clothing stores,2021-02-01,10683.0
Clothing stores,2021-01-01,10568.0
Department stores,2021-02-01,7881.0
Department stores,2021-01-01,8327.0
Department stores(excl. discount department stores),2021-02-01,1495.0
Department stores(excl. discount department stores),2021-01-01,1273.0
Discount dept. stores,2021-02-01,6386.0
Discount dept. stores,2021-01-01,7054.0
Drinking places,2021-02-01,0.0
Drinking places,2021-01-01,0.0
Electronic shopping and mail-order houses,2021-02-01,64683.0
Electronic shopping and mail-order houses,2021-01-01,69830.0
Electronics and appliance stores,2021-02-01,6275.0
Electronics and appliance stores,2021-01-01,7066.0
Electronics stores,2021-02-01,4780.0
Electronics stores,2021-01-01,5435.0
Family clothing stores,2021-02-01,5920.0
Family clothing stores,2021-01-01,5903.0
Floor covering stores,2021-02-01,0.0
Floor covering stores,2021-01-01,0.0
Food and beverage stores,2021-02-01,65894.0
Food and beverage stores,2021-01-01,71726.0
Food services and drinking places,2021-02-01,50475.0
Food services and drinking places,2021-01-01,52757.0
Fuel dealers,2021-02-01,4423.0
Fuel dealers,2021-01-01,4115.0
Full service restaurants,2021-02-01,0.0
Full service restaurants,2021-01-01,0.0
Furniture and home furnishings stores,2021-02-01,10019.0
Furniture and home furnishings stores,2021-01-01,10707.0
Furniture stores,2021-02-01,5691.0
Furniture stores,2021-01-01,6099.0
"Furniture, home furn, electronics, and appliance stores",2021-02-01,16294.0
"Furniture, home furn, electronics, and appliance stores",2021-01-01,17773.0
Gasoline stations,2021-02-01,36284.0
Gasoline stations,2021-01-01,37214.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2021-02-01,95130.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2021-01-01,102333.0
General merchandise stores,2021-02-01,54183.0
General merchandise stores,2021-01-01,59643.0
"Gift, novelty, and souvenir stores",2021-02-01,889.0
"Gift, novelty, and souvenir stores",2021-01-01,871.0
Grocery stores,2021-02-01,59076.0
Grocery stores,2021-01-01,64785.0
Hardware stores,2021-02-01,2203.0
Hardware stores,2021-01-01,2352.0
Health and personal care stores,2021-02-01,27775.0
Health and personal care stores,2021-01-01,29509.0
"Hobby, toy, and game stores",2021-02-01,1444.0
"Hobby, toy, and game stores",2021-01-01,1646.0
Home furnishings stores,2021-02-01,0.0
Home furnishings stores,2021-01-01,0.0
Household appliance stores,2021-02-01,1495.0
Household appliance stores,2021-01-01,1631.0
Jewelry stores,2021-02-01,3405.0
Jewelry stores,2021-01-01,2640.0
Limited service eating places,2021-02-01,25819.0
